cohort,batch,i,minp_below_001
HNSC,25,2,56
HNSC,25,3,174
HNSC,25,4,189
HNSC,25,5,130
HNSC,25,6,99
HNSC,25,7,154
HNSC,25,8,284
HNSC,25,9,190
HNSC,26,0,197
HNSC,26,1,122
HNSC,26,2,129
HNSC,26,3,110
HNSC,26,4,78
HNSC,26,5,131
HNSC,26,6,103
HNSC,26,7,120
HNSC,26,8,139
HNSC,26,9,1059
HNSC,27,0,1010
HNSC,27,1,651
HNSC,27,2,187
HNSC,27,3,705
HNSC,27,4,57
HNSC,27,5,66
HNSC,27,6,378
HNSC,27,7,213
HNSC,27,8,619
HNSC,27,9,129
HNSC,28,0,226
HNSC,28,1,151
HNSC,28,2,162
HNSC,28,3,271
HNSC,28,4,159
HNSC,28,5,400
HNSC,28,6,80
HNSC,28,7,359
HNSC,28,8,249
HNSC,28,9,69
HNSC,29,0,104
HNSC,29,1,437
HNSC,29,2,431
HNSC,29,3,61
HNSC,29,4,60
HNSC,29,5,250
HNSC,29,6,116
HNSC,29,7,583
HNSC,29,8,82
HNSC,29,9,108
HNSC,30,0,219
HNSC,30,1,64
HNSC,30,2,279
HNSC,30,3,123
HNSC,30,4,532
HNSC,30,5,115
HNSC,30,6,340
HNSC,30,7,432
HNSC,30,8,132
HNSC,30,9,71
HNSC,31,0,86
HNSC,31,1,94
HNSC,31,2,75
HNSC,31,3,575
HNSC,31,4,134
HNSC,31,5,85
HNSC,31,6,105
HNSC,31,7,194
HNSC,31,8,52
HNSC,31,9,304
HNSC,32,0,508
HNSC,32,1,80
HNSC,32,2,82
HNSC,32,3,142
HNSC,32,4,70
HNSC,32,5,78
HNSC,32,6,263
HNSC,32,7,263
HNSC,32,8,138
HNSC,32,9,266
HNSC,33,0,88
HNSC,33,1,580
HNSC,33,2,171
HNSC,33,3,122
HNSC,33,4,321
HNSC,33,5,172
HNSC,33,6,308
HNSC,33,7,96
HNSC,33,8,165
HNSC,33,9,237
HNSC,34,0,294
HNSC,34,1,378
HNSC,34,2,153
HNSC,34,3,134
HNSC,34,4,175
HNSC,34,5,281
HNSC,34,6,275
HNSC,34,7,106
HNSC,34,8,415
HNSC,34,9,405
HNSC,35,0,293
HNSC,35,1,215
HNSC,35,2,735
HNSC,35,3,279
HNSC,35,4,104
HNSC,35,5,150
HNSC,35,6,235
HNSC,35,7,108
HNSC,35,8,77
HNSC,35,9,78
HNSC,36,0,318
HNSC,36,1,158
HNSC,36,2,176
HNSC,36,3,82
HNSC,36,4,198
HNSC,36,5,377
HNSC,36,6,345
HNSC,36,7,528
HNSC,36,8,107
HNSC,36,9,501
HNSC,37,0,103
HNSC,37,1,352
HNSC,37,2,83
HNSC,37,3,329
HNSC,37,4,83
HNSC,37,5,893
HNSC,37,6,85
HNSC,37,7,175
HNSC,37,8,60
HNSC,37,9,512
HNSC,38,0,175
HNSC,38,1,211
HNSC,38,2,156
HNSC,38,3,580
HNSC,38,4,94
HNSC,38,5,774
HNSC,38,6,126
HNSC,38,7,129
HNSC,38,8,66
HNSC,38,9,239
HNSC,39,0,115
HNSC,39,1,205
HNSC,39,2,475
