cohort,batch,i,minp_below_001
READ,35,3,83
READ,35,4,185
READ,35,5,503
READ,35,6,155
READ,35,7,78
READ,35,8,260
READ,35,9,691
READ,36,0,130
READ,36,1,147
READ,36,2,98
READ,36,3,163
READ,36,4,334
READ,36,5,163
READ,36,6,133
READ,36,7,227
READ,36,8,106
READ,36,9,326
READ,37,0,282
READ,37,1,273
READ,37,2,103
READ,37,3,362
READ,37,4,186
READ,37,5,148
READ,37,6,93
READ,37,7,191
READ,37,8,73
READ,37,9,73
READ,38,0,88
READ,38,1,185
READ,38,2,145
READ,38,3,209
READ,38,4,117
READ,38,5,209
READ,38,6,104
READ,38,7,88
READ,38,8,236
READ,38,9,142
READ,39,0,109
READ,39,1,501
READ,39,2,128
READ,39,3,105
READ,39,4,91
READ,39,5,178
READ,39,6,59
READ,39,7,147
READ,39,8,588
READ,39,9,196
READ,40,0,56
READ,40,1,341
READ,40,2,358
READ,40,3,52
READ,40,4,347
READ,40,5,1943
READ,40,6,188
READ,40,7,166
READ,40,8,127
READ,40,9,175
READ,41,0,202
READ,41,1,115
READ,41,2,330
READ,41,3,204
READ,41,4,217
READ,41,5,293
READ,41,6,568
READ,41,7,289
READ,41,8,166
READ,41,9,105
READ,42,0,239
READ,42,1,44
READ,42,2,93
READ,42,3,471
READ,42,4,130
READ,42,5,662
READ,42,6,52
READ,42,7,71
READ,42,8,61
READ,42,9,63
READ,43,0,453
READ,43,1,87
READ,43,2,846
READ,43,3,62
READ,43,4,87
READ,43,5,315
READ,43,6,188
READ,43,7,173
READ,43,8,118
READ,43,9,404
READ,44,0,86
READ,44,1,74
READ,44,2,149
READ,44,3,112
READ,44,4,276
READ,44,5,801
READ,44,6,124
READ,44,7,97
READ,44,8,180
READ,44,9,244
READ,45,0,308
READ,45,1,234
READ,45,2,209
READ,45,3,196
READ,45,4,372
READ,45,5,152
READ,45,6,76
READ,45,7,87
READ,45,8,95
READ,45,9,338
READ,46,0,149
READ,46,1,148
READ,46,2,117
READ,46,3,418
READ,46,4,81
READ,46,5,207
READ,46,6,149
READ,46,7,73
READ,46,8,141
READ,46,9,246
READ,47,0,437
READ,47,1,111
READ,47,2,174
READ,47,3,67
READ,47,4,114
READ,47,5,144
READ,47,6,327
READ,47,7,112
READ,47,8,141
READ,47,9,96
READ,48,0,160
READ,48,1,429
READ,48,2,68
READ,48,3,248
READ,48,4,98
READ,48,5,213
READ,48,6,97
READ,48,7,729
READ,48,8,117
READ,48,9,67
READ,49,0,127
READ,49,1,216
READ,49,2,147
READ,49,3,227
READ,49,4,241
READ,49,5,928
READ,49,6,109
READ,49,7,345
READ,49,8,73
READ,49,9,208
READ,50,0,165
READ,50,1,140
READ,50,2,145
READ,50,3,135
READ,50,4,118
READ,50,5,238
READ,50,6,174
READ,50,7,247
READ,50,8,119
READ,50,9,64
READ,51,0,75
READ,51,1,330
READ,51,2,276
READ,51,3,146
READ,51,4,58
READ,51,5,323
READ,51,6,105
READ,51,7,50
READ,51,8,109
READ,51,9,215
READ,52,0,197
READ,52,1,187
READ,52,2,178
READ,52,3,99
READ,52,4,104
READ,52,5,140
READ,52,6,350
READ,52,7,289
READ,52,8,185
READ,52,9,135
READ,53,0,83
READ,53,1,137
READ,53,2,143
READ,53,3,188
READ,53,4,356
READ,53,5,200
READ,53,6,213
READ,53,7,553
READ,53,8,93
READ,53,9,103
READ,54,0,87
READ,54,1,159
READ,54,2,91
READ,54,3,80
READ,54,4,157
READ,54,5,173
READ,54,6,236
READ,54,7,1030
READ,54,8,72
READ,54,9,96
READ,55,0,355
READ,55,1,140
READ,55,2,58
READ,55,3,184
READ,55,4,55
READ,55,5,138
READ,55,6,85
READ,55,7,169
READ,55,8,139
READ,55,9,136
READ,56,0,137
READ,56,1,35
READ,56,2,124
READ,56,3,110
READ,56,4,101
READ,56,5,283
READ,56,6,143
READ,56,7,110
READ,56,8,90
READ,56,9,209
READ,57,0,153
READ,57,1,93
READ,57,2,117
READ,57,3,93
READ,57,4,559
READ,57,5,98
READ,57,6,296
READ,57,7,144
READ,57,8,172
READ,57,9,155
READ,58,0,129
READ,58,1,169
READ,58,2,181
READ,58,3,121
READ,58,4,274
READ,58,5,68
READ,58,6,124
READ,58,7,62
READ,58,8,104
READ,58,9,59
READ,59,0,128
READ,59,1,114
READ,59,2,413
READ,59,3,84
READ,59,4,497
READ,59,5,172
READ,59,6,698
READ,59,7,250
READ,59,8,87
READ,59,9,235
READ,60,0,136
READ,60,1,160
READ,60,2,67
READ,60,3,137
READ,60,4,365
READ,60,5,104
READ,60,6,63
READ,60,7,141
READ,60,8,146
READ,60,9,106
READ,61,0,578
READ,61,1,484
READ,61,2,109
READ,61,3,160
READ,61,4,78
READ,61,5,1008
READ,61,6,221
READ,61,7,145
READ,61,8,121
READ,61,9,230
READ,62,0,171
READ,62,1,76
READ,62,2,167
READ,62,3,140
READ,62,4,441
READ,62,5,86
READ,62,6,279
READ,62,7,95
READ,62,8,324
READ,62,9,124
READ,63,0,86
READ,63,1,89
READ,63,2,47
READ,63,3,331
READ,63,4,207
READ,63,5,238
READ,63,6,355
READ,63,7,78
READ,63,8,114
READ,63,9,118
READ,64,0,180
READ,64,1,192
READ,64,2,76
READ,64,3,425
READ,64,4,84
READ,64,5,186
READ,64,6,141
READ,64,7,149
READ,64,8,168
READ,64,9,113
READ,65,0,49
READ,65,1,109
READ,65,2,114
READ,65,3,234
READ,65,4,140
READ,65,5,87
READ,65,6,66
READ,65,7,862
READ,65,8,179
READ,65,9,120
READ,66,0,359
READ,66,1,99
READ,66,2,169
READ,66,3,65
READ,66,4,102
READ,66,5,119
READ,66,6,103
READ,66,7,105
READ,66,8,202
READ,66,9,44
READ,67,0,129
READ,67,1,102
READ,67,2,526
READ,67,3,174
READ,67,4,245
READ,67,5,217
READ,67,6,139
READ,67,7,347
READ,67,8,222
READ,67,9,143
READ,68,0,114
READ,68,1,256
READ,68,2,143
READ,68,3,336
READ,68,4,302
READ,68,5,185
READ,68,6,269
READ,68,7,169
READ,68,8,147
READ,68,9,102
READ,69,0,88
READ,69,1,140
READ,69,2,288
READ,69,3,329
READ,69,4,99
READ,69,5,174
READ,69,6,138
READ,69,7,374
READ,69,8,98
READ,69,9,225
READ,70,0,49
READ,70,1,241
READ,70,2,117
READ,70,3,56
READ,70,4,108
READ,70,5,151
READ,70,6,426
READ,70,7,604
READ,70,8,383
READ,70,9,52
READ,71,0,439
READ,71,1,866
READ,71,2,120
READ,71,3,143
READ,71,4,84
READ,71,5,225
READ,71,6,131
READ,71,7,64
READ,71,8,108
READ,71,9,134
READ,72,0,28
READ,72,1,110
READ,72,2,144
READ,72,3,140
READ,72,4,454
READ,72,5,71
READ,72,6,53
READ,72,7,92
READ,72,8,85
READ,72,9,337
READ,73,0,49
READ,73,1,89
READ,73,2,235
READ,73,3,124
READ,73,4,144
READ,73,5,574
READ,73,6,370
READ,73,7,210
READ,73,8,466
READ,73,9,141
READ,74,0,76
READ,74,1,118
READ,74,2,782
READ,74,3,299
READ,74,4,89
READ,74,5,91
READ,74,6,148
READ,74,7,233
READ,74,8,148
READ,74,9,297
READ,75,0,66
READ,75,1,126
READ,75,2,127
READ,75,3,237
READ,75,4,364
READ,75,5,346
READ,75,6,85
READ,75,7,95
READ,75,8,93
READ,75,9,64
READ,76,0,308
READ,76,1,61
READ,76,2,68
READ,76,3,125
READ,76,4,110
READ,76,5,78
READ,76,6,76
READ,76,7,65
READ,76,8,217
READ,76,9,92
READ,77,0,210
READ,77,1,147
READ,77,2,69
READ,77,3,89
READ,77,4,97
READ,77,5,93
READ,77,6,265
READ,77,7,132
READ,77,8,125
READ,77,9,60
READ,78,0,147
READ,78,1,161
READ,78,2,187
READ,78,3,358
READ,78,4,63
READ,78,5,162
READ,78,6,149
READ,78,7,59
READ,78,8,93
READ,78,9,259
READ,79,0,101
READ,79,1,76
READ,79,2,155
READ,79,3,264
READ,79,4,150
READ,79,5,236
READ,79,6,205
