cohort,batch,i,minp_below_001
CESC,31,8,50
CESC,31,9,164
CESC,32,0,172
CESC,32,1,174
CESC,32,2,446
CESC,32,3,273
CESC,32,4,177
CESC,32,5,198
CESC,32,6,202
CESC,32,7,428
CESC,32,8,268
CESC,32,9,188
CESC,33,0,66
CESC,33,1,202
CESC,33,2,168
CESC,33,3,122
CESC,33,4,123
CESC,33,5,146
CESC,33,6,278
CESC,33,7,306
CESC,33,8,75
CESC,33,9,138
CESC,34,0,110
CESC,34,1,149
CESC,34,2,151
CESC,34,3,115
CESC,34,4,138
CESC,34,5,146
CESC,34,6,81
CESC,34,7,355
CESC,34,8,207
CESC,34,9,182
CESC,35,0,654
CESC,35,1,93
CESC,35,2,558
CESC,35,3,400
CESC,35,4,103
CESC,35,5,126
CESC,35,6,103
CESC,35,7,109
CESC,35,8,929
CESC,35,9,65
CESC,36,0,133
CESC,36,1,186
CESC,36,2,174
CESC,36,3,76
CESC,36,4,238
CESC,36,5,219
CESC,36,6,115
CESC,36,7,199
CESC,36,8,220
CESC,36,9,241
CESC,37,0,80
CESC,37,1,169
CESC,37,2,547
CESC,37,3,174
CESC,37,4,118
CESC,37,5,160
CESC,37,6,118
CESC,37,7,138
CESC,37,8,62
CESC,37,9,331
CESC,38,0,182
CESC,38,1,127
CESC,38,2,110
CESC,38,3,618
CESC,38,4,132
CESC,38,5,84
CESC,38,6,64
CESC,38,7,248
CESC,38,8,412
CESC,38,9,94
CESC,39,0,152
CESC,39,1,284
CESC,39,2,194
CESC,39,3,188
CESC,39,4,1300
CESC,39,5,122
CESC,39,6,299
CESC,39,7,78
CESC,39,8,146
CESC,39,9,185
CESC,40,0,143
CESC,40,1,426
CESC,40,2,352
CESC,40,3,215
CESC,40,4,167
CESC,40,5,608
CESC,40,6,114
CESC,40,7,98
CESC,40,8,204
CESC,40,9,496
CESC,41,0,129
CESC,41,1,117
CESC,41,2,354
CESC,41,3,360
CESC,41,4,140
CESC,41,5,168
CESC,41,6,210
CESC,41,7,127
CESC,41,8,549
CESC,41,9,46
CESC,42,0,158
CESC,42,1,136
CESC,42,2,224
CESC,42,3,141
CESC,42,4,256
CESC,42,5,171
CESC,42,6,167
CESC,42,7,72
CESC,42,8,243
CESC,42,9,333
CESC,43,0,230
CESC,43,1,111
CESC,43,2,200
CESC,43,3,354
CESC,43,4,98
CESC,43,5,74
CESC,43,6,268
CESC,43,7,151
CESC,43,8,131
CESC,43,9,223
CESC,44,0,93
CESC,44,1,161
CESC,44,2,246
CESC,44,3,101
CESC,44,4,704
CESC,44,5,90
CESC,44,6,192
CESC,44,7,99
CESC,44,8,116
CESC,44,9,127
CESC,45,0,188
CESC,45,1,124
CESC,45,2,279
CESC,45,3,176
CESC,45,4,591
CESC,45,5,59
CESC,45,6,148
CESC,45,7,202
CESC,45,8,340
CESC,45,9,127
CESC,46,0,258
CESC,46,1,154
CESC,46,2,633
CESC,46,3,169
CESC,46,4,76
CESC,46,5,275
CESC,46,6,132
CESC,46,7,90
CESC,46,8,166
CESC,46,9,606
CESC,47,0,184
CESC,47,1,712
CESC,47,2,164
CESC,47,3,74
CESC,47,4,91
CESC,47,5,801
CESC,47,6,72
CESC,47,7,112
CESC,47,8,88
CESC,47,9,217
CESC,48,0,188
CESC,48,1,483
CESC,48,2,621
CESC,48,3,105
CESC,48,4,67
CESC,48,5,224
CESC,48,6,178
CESC,48,7,137
CESC,48,8,205
CESC,48,9,674
CESC,49,0,239
CESC,49,1,479
CESC,49,2,75
CESC,49,3,85
CESC,49,4,590
CESC,49,5,277
CESC,49,6,244
CESC,49,7,114
CESC,49,8,188
CESC,49,9,107
CESC,50,0,164
CESC,50,1,342
CESC,50,2,115
CESC,50,3,144
CESC,50,4,291
CESC,50,5,118
CESC,50,6,240
CESC,50,7,147
CESC,50,8,152
CESC,50,9,202
CESC,51,0,70
CESC,51,1,196
CESC,51,2,91
CESC,51,3,69
CESC,51,4,1990
CESC,51,5,120
CESC,51,6,162
CESC,51,7,380
CESC,51,8,116
CESC,51,9,125
CESC,52,0,58
CESC,52,1,478
CESC,52,2,558
CESC,52,3,272
CESC,52,4,439
CESC,52,5,67
CESC,52,6,154
CESC,52,7,203
CESC,52,8,276
CESC,52,9,185
CESC,53,0,97
CESC,53,1,270
CESC,53,2,187
CESC,53,3,596
CESC,53,4,88
CESC,53,5,72
CESC,53,6,184
CESC,53,7,138
CESC,53,8,139
CESC,53,9,443
CESC,54,0,150
CESC,54,1,92
CESC,54,2,117
CESC,54,3,98
CESC,54,4,104
CESC,54,5,252
CESC,54,6,138
